9/19/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'      '807' 'pump'      '1412' 'pump'   '1005' 'pump' '.' '803' 'pump'   '707' 'H/T'  '404' 'h/t casing leak'      '605' 'h/t'   '808' 'P/L'      '810' 'P/L'  '708' 'h/t'   '818' 'P/L'                '703' 'pump'          'total off' '72barrels'  '803' 'frac'      '1004' 'H/T'             ' 'LM 35' 'h/t'             'oil is turned in to sale on boykin the oil hauler has not  showed up yet         Bill'                                                                                          
9/20/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'      '807' 'pump'      '1412' 'pump'   '1005' 'pump' '.' '803' 'pump'   '707' 'H/T'  '404' 'h/t casing leak'      '605' 'h/t'   '808' 'P/L'      '810' 'P/L'  '708' 'h/t'   '818' 'P/L'                '703' 'pump'          'total off' '72barrels'  '803' 'frac'      '1004' 'H/T'             ' 'LM 35' 'h/t'             'oil is turned in to sale on boykin the oil hauler has not  showed up yet         Bill'                                                                                          
9/21/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'      '807' 'pump'      '1412' 'pump'   '1005' 'pump' '.' '803' 'pump'   '707' 'H/T'  '404' 'h/t casing leak'      '605' 'h/t'   '808' 'P/L'      '810' 'P/L'  '708' 'h/t'   '818' 'P/L'                '703' 'pump'          'total off' '72barrels'  '803' 'frac'      '1004' 'H/T'             ' 'LM 35' 'h/t'             'oil is turned in to sale on boykin the oil hauler has not  showed up yet         Bill'       'all of L/M is down because TXU has some kind of elect.  thay are our elect. Provider'                                                                                   
9/22/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'      '807' 'pump'      '1412' 'pump'      '803' 'pump'      '404' 'h/t casing leak'      '1005' 'pump' '.'     '707' 'H/T'             '808' 'P/L'      '810' 'P/L'      '818' 'P/L'      '816' 'belts'      '803' 'frac'      '1004' 'H/T'      '704' 'belts'      ' 'LM 35' 'h/t'                                                                                                       
9/23/2014,
9/24/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'      '807' 'pump'      '1412' 'pump'      '803' 'pump'      '404' 'h/t casing leak'      '1005' 'pump' '.'     '707' 'H/T'      ' 508' 'elec.'      '808' 'P/L'      '810' 'P/L'      '818' 'P/L'      '806 ' 'belts'      '803' 'frac'      '1004' 'H/T'             ' 'LM 35' 'h/t'                                                                                                       
9/25/2014,
9/26/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'      '807' 'pump'      '1412' 'pump'      '803' 'pump'      '404' 'h/t casing leak'      '1005' 'pump' '.'     '707' 'H/T'      ' 508' 'elec.'      '808' 'P/L'      '810' 'P/L'      '818' 'P/L'      '806 ' 'belts'      '803' 'frac'      '1004' 'H/T'             ' 'LM 35' 'h/t'                                                                                                       
9/27/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'      '807' 'pump'      '1412' 'pump'      '803' 'pump'      '404' 'h/t casing leak'      '1005' 'pump' '.'     '707' 'H/T'      ' 508' 'elec.'      '808' 'P/L'      '810' 'P/L'      '818' 'P/L'      '806 ' 'belts'      '803' 'frac'      '1004' 'H/T'             ' 'LM 35' 'h/t'                                                                                                       
9/28/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'      '807' 'pump'      '1412' 'pump'      '803' 'pump'      '404' 'h/t casing leak'      '1005' 'pump' '.'     '707' 'H/T'      ' 508' 'elec.'      '808' 'P/L'      '810' 'P/L'      '818' 'P/L'      '806 ' 'belts'      '803' 'frac'      '1004' 'H/T'      '1306' 'electrical'      ' 'LM 35' 'h/t'                                                                                                       
9/29/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'      '807' 'pump'      '1412' 'pump'      '803' 'pump'      '404' 'h/t casing leak'      '1005' 'pump' '.'     '707' 'H/T'      ' 508' 'elec.'      '708' 'will not pump'                    '806 ' 'belts'      '803' 'frac'             '1306' 'electrical'      ' 'LM 35' 'h/t'                                                                                                       
9/30/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'      '807' 'pump'      '1412' 'pump'      '803' 'pump'      '404' 'h/t casing leak'      '1005' 'pump' '.'     '707' 'H/T'      ' 508' 'elec.'      '708' 'will not pump'                           '803' 'frac'                    ' 'LM 35' 'h/t'                                                                                                       
10/1/2014,               ' '              '' '' '' ''   'Total Prod. Off' '1105' 'SI'      '206' 'h/t'      '807' 'pump'      '1412' 'pump'      '803' 'pump'      '404' 'h/t casing leak'      '1005' 'pump' '.'     '707' 'H/T'             '708' 'will not pump'                                                ' 'LM 35' 'h/t'                                                                                                       
10/2/2014,
